CT,BlockGrp,StrType,Occupancy,Code,Tenure,Mortgage,Value,Income,Size,Race,Children,Elderly
047600,60750476001,W1,RES1,Post1940,RenterOccupied,FALSE,481929,26992,1,White,FALSE,FALSE
047600,60750476001,W1,RES1,Post1940,OwnerOccupied,TRUE,481929,64763,2,NonWhite,TRUE,TRUE
047600,60750476001,W1,RES1,Post1940,RenterOccupied,FALSE,520464,58826,1,White,FALSE,FALSE
047600,60750476001,W1,RES1,Pre1940,OwnerOccupied,TRUE,520464,366380,4,NonWhite,FALSE,TRUE
047600,60750476001,W1,RES1,Pre1940,OwnerOccupied,FALSE,481929,23729,1,White,FALSE,FALSE
047600,60750476001,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,177452,4,NonWhite,FALSE,FALSE
047600,60750476001,W1,RES1,Pre1940,RenterOccupied,FALSE,481929,13881,1,NonWhite,TRUE,TRUE
047600,60750476001,W1,RES1,Pre1940,RenterOccupied,FALSE,390348,143071,3,NonWhite,FALSE,TRUE
047600,60750476001,W1,RES1,Post1980,RenterOccupied,FALSE,520464,33823,1,White,FALSE,FALSE
047600,60750476001,W1,RES1,Pre1940,RenterOccupied,FALSE,481929,37929,1,NonWhite,FALSE,FALSE
047600,60750476001,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,163928,4,NonWhite,FALSE,FALSE
047600,60750476001,W1,RES1,Pre1940,OwnerOccupied,FALSE,481929,191902,4,NonWhite,TRUE,FALSE
047600,60750476001,W1,RES1,Post1940,RenterOccupied,FALSE,520464,77441,2,NonWhite,FALSE,FALSE
047600,60750476001,W1,RES1,Post1980,RenterOccupied,FALSE,520464,23720,1,White,FALSE,FALSE
047600,60750476001,W1,RES1,Post1940,RenterOccupied,FALSE,520464,130522,3,White,FALSE,FALSE
047600,60750476001,W1,RES1,Post1940,RenterOccupied,FALSE,520464,23823,1,NonWhite,FALSE,FALSE
047600,60750476001,W1,RES1,Pre1940,RenterOccupied,FALSE,481929,139754,3,White,FALSE,FALSE
047600,60750476001,W1,RES1,Pre1940,OwnerOccupied,FALSE,520464,186994,4,White,FALSE,FALSE
047600,60750476001,W1,RES1,Pre1940,RenterOccupied,FALSE,481929,160223,4,NonWhite,FALSE,FALSE
047600,60750476001,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,173014,4,White,FALSE,FALSE
047600,60750476001,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,131932,3,NonWhite,FALSE,FALSE
