CT,BlockGrp,StrType,Occupancy,Code,Tenure,Mortgage,Value,Income,Size,Race,Children,Elderly
020402,60750204021,W1,RES1,Post1980,RenterOccupied,FALSE,520464,132607,2,NonWhite,FALSE,FALSE
020402,60750204021,W1,RES1,Post1980,RenterOccupied,FALSE,520464,56154,1,NonWhite,FALSE,FALSE
020402,60750204021,W1,RES1,Post1980,RenterOccupied,FALSE,520464,72151,1,NonWhite,FALSE,FALSE
020402,60750204021,W1,RES1,Post1940,RenterOccupied,FALSE,481929,26741,1,NonWhite,FALSE,TRUE
020402,60750204021,W1,RES1,Post1940,RenterOccupied,FALSE,481929,58090,1,White,FALSE,TRUE
020402,60750204021,W1,RES1,Post1940,RenterOccupied,FALSE,481929,14698,1,NonWhite,FALSE,FALSE
020402,60750204021,W1,RES1,Post1940,RenterOccupied,FALSE,520464,32360,1,NonWhite,FALSE,FALSE
020402,60750204021,W1,RES1,Post1980,RenterOccupied,FALSE,481929,448880,4,WhiteHispanic,FALSE,FALSE
020402,60750204021,W1,RES1,Post1940,RenterOccupied,FALSE,520464,50900,1,White,FALSE,FALSE
020402,60750204021,W1,RES1,Post1980,RenterOccupied,FALSE,520464,114827,1,White,FALSE,FALSE
020402,60750204021,W1,RES1,Post1980,RenterOccupied,FALSE,481929,50545,1,White,FALSE,TRUE
020402,60750204021,W1,RES1,Post1940,OwnerOccupied,TRUE,520464,30342,1,White,FALSE,TRUE
020402,60750204021,W1,RES1,Post1940,RenterOccupied,FALSE,520464,174733,2,White,FALSE,FALSE
020402,60750204021,W1,RES1,Post1980,RenterOccupied,FALSE,520464,56009,1,NonWhiteHispanic,FALSE,FALSE
020402,60750204021,W1,RES1,Post1940,RenterOccupied,FALSE,481929,62858,1,WhiteHispanic,TRUE,TRUE
020402,60750204021,W1,RES1,Post1940,RenterOccupied,FALSE,520464,189726,2,NonWhite,FALSE,FALSE
020402,60750204021,W1,RES1,Post1980,RenterOccupied,FALSE,520464,92721,1,White,FALSE,FALSE
020402,60750204021,W1,RES1,Post1940,RenterOccupied,FALSE,520464,332694,4,NonWhite,FALSE,FALSE
020402,60750204021,W1,RES1,Post1940,RenterOccupied,FALSE,390348,48134,1,NonWhite,FALSE,FALSE
020402,60750204021,W1,RES1,Post1940,RenterOccupied,FALSE,520464,187138,2,White,FALSE,FALSE
020402,60750204021,W1,RES1,Post1940,OwnerOccupied,TRUE,520464,97724,1,White,FALSE,FALSE
